theta= 6.82049971694, alpha= 4.96885848626, l_beta= 3.33380429826, h_beta= 1.17320261947, gamma= 0.909252425715
theta= 76.1611055427, alpha= 12.367682924, l_beta= 8.40750896549, h_beta= 2.66154020152, gamma= 2.34343651205
theta= 85.0238241788, alpha= 14.1753505433, l_beta= 8.19148722682, h_beta= 2.61041592353, gamma= 1.92303549935
theta= 76.058954886, alpha= 14.0913066575, l_beta= 8.08749181921, h_beta= 2.60753804165, gamma= 1.94212180857
theta= 98.4198019615, alpha= 26.4834790767, l_beta= 12.3076521245, h_beta= 5.32603777416, gamma= 5.5046078933
theta= 6.82049971694, alpha= 4.96885848626, l_beta= 3.33380429826, h_beta= 1.17320261947, gamma= 0.909252425715
theta= 76.1611055427, alpha= 12.367682924, l_beta= 8.40750896549, h_beta= 2.66154020152, gamma= 2.34343651205
theta= 85.0238241788, alpha= 14.1753505433, l_beta= 8.19148722682, h_beta= 2.61041592353, gamma= 1.92303549935
theta= 76.058954886, alpha= 14.0913066575, l_beta= 8.08749181921, h_beta= 2.60753804165, gamma= 1.94212180857
theta= 98.4198019615, alpha= 26.4834790767, l_beta= 12.3076521245, h_beta= 5.32603777416, gamma= 5.5046078933
theta= 6.82049971694, alpha= 4.96885848626, l_beta= 3.33380429826, h_beta= 1.17320261947, gamma= 0.909252425715
theta= 76.1611055427, alpha= 12.367682924, l_beta= 8.40750896549, h_beta= 2.66154020152, gamma= 2.34343651205
theta= 85.0238241788, alpha= 14.1753505433, l_beta= 8.19148722682, h_beta= 2.61041592353, gamma= 1.92303549935
theta= 76.058954886, alpha= 14.0913066575, l_beta= 8.08749181921, h_beta= 2.60753804165, gamma= 1.94212180857
theta= 98.4198019615, alpha= 26.4834790767, l_beta= 12.3076521245, h_beta= 5.32603777416, gamma= 5.5046078933
theta= 6.82049971694, alpha= 4.96885848626, l_beta= 3.33380429826, h_beta= 1.17320261947, gamma= 0.909252425715
theta= 76.1611055427, alpha= 12.367682924, l_beta= 8.40750896549, h_beta= 2.66154020152, gamma= 2.34343651205
theta= 85.0238241788, alpha= 14.1753505433, l_beta= 8.19148722682, h_beta= 2.61041592353, gamma= 1.92303549935
theta= 7377.04143825, alpha= 928.545197613, l_beta= 142.230432923, h_beta= 76.1277230731, gamma= 24.5965542484
theta= 8831.04106903, alpha= 1182.65847659, l_beta= 148.816717401, h_beta= 87.9568545804, gamma= 29.1346522288
theta= 449.180464777, alpha= 171.474955255, l_beta= 40.9665904811, h_beta= 39.8934679229, gamma= 28.7634869598
theta= 7118.11734818, alpha= 923.949577775, l_beta= 125.758264728, h_beta= 76.7627961777, gamma= 24.8937744543
theta= 7562.02521397, alpha= 1004.41436658, l_beta= 130.937433719, h_beta= 81.8800842961, gamma= 27.2216843863
theta= 7377.04143825, alpha= 928.545197613, l_beta= 142.230432923, h_beta= 76.1277230731, gamma= 24.5965542484
theta= 8831.04106903, alpha= 1182.65847659, l_beta= 148.816717401, h_beta= 87.9568545804, gamma= 29.1346522288
theta= 449.180464777, alpha= 171.474955255, l_beta= 40.9665904811, h_beta= 39.8934679229, gamma= 28.7634869598
theta= 7118.11734818, alpha= 923.949577775, l_beta= 125.758264728, h_beta= 76.7627961777, gamma= 24.8937744543
theta= 7562.02521397, alpha= 1004.41436658, l_beta= 130.937433719, h_beta= 81.8800842961, gamma= 27.2216843863
theta= 7377.04143825, alpha= 928.545197613, l_beta= 142.230432923, h_beta= 76.1277230731, gamma= 24.5965542484
theta= 8831.04106903, alpha= 1182.65847659, l_beta= 148.816717401, h_beta= 87.9568545804, gamma= 29.1346522288
theta= 449.180464777, alpha= 171.474955255, l_beta= 40.9665904811, h_beta= 39.8934679229, gamma= 28.7634869598
theta= 7118.11734818, alpha= 923.949577775, l_beta= 125.758264728, h_beta= 76.7627961777, gamma= 24.8937744543
theta= 7562.02521397, alpha= 1004.41436658, l_beta= 130.937433719, h_beta= 81.8800842961, gamma= 27.2216843863
theta= 7377.04143825, alpha= 928.545197613, l_beta= 142.230432923, h_beta= 76.1277230731, gamma= 24.5965542484
theta= 8831.04106903, alpha= 1182.65847659, l_beta= 148.816717401, h_beta= 87.9568545804, gamma= 29.1346522288
theta= 449.180464777, alpha= 171.474955255, l_beta= 40.9665904811, h_beta= 39.8934679229, gamma= 28.7634869598
theta= 7118.11734818, alpha= 923.949577775, l_beta= 125.758264728, h_beta= 76.7627961777, gamma= 24.8937744543
theta= 7562.02521397, alpha= 1004.41436658, l_beta= 130.937433719, h_beta= 81.8800842961, gamma= 27.2216843863
theta= 25720.2349327, alpha= 4566.6100652, l_beta= 1172.01429631, h_beta= 607.457727334, gamma= 165.514740426
theta= 32581.8210377, alpha= 6108.51702924, l_beta= 1718.55278614, h_beta= 679.884345186, gamma= 215.74349936
theta= 2518.20655222, alpha= 1153.83162175, l_beta= 488.062256473, h_beta= 211.574478901, gamma= 214.755498934
theta= 25870.0065047, alpha= 3585.91991704, l_beta= 1179.240527, h_beta= 563.177842741, gamma= 172.01595333
theta= 26698.8787823, alpha= 5043.11108779, l_beta= 723.417079095, h_beta= 544.320608376, gamma= 228.952549632
theta= 25720.2349327, alpha= 4566.6100652, l_beta= 1172.01429631, h_beta= 607.457727334, gamma= 165.514740426
theta= 32581.8210377, alpha= 6108.51702924, l_beta= 1718.55278614, h_beta= 679.884345186, gamma= 215.74349936
theta= 2518.20655222, alpha= 1153.83162175, l_beta= 488.062256473, h_beta= 211.574478901, gamma= 214.755498934
theta= 25870.0065047, alpha= 3585.91991704, l_beta= 1179.240527, h_beta= 563.177842741, gamma= 172.01595333
theta= 26698.8787823, alpha= 5043.11108779, l_beta= 723.417079095, h_beta= 544.320608376, gamma= 228.952549632
theta= 25720.2349327, alpha= 4566.6100652, l_beta= 1172.01429631, h_beta= 607.457727334, gamma= 165.514740426
theta= 32581.8210377, alpha= 6108.51702924, l_beta= 1718.55278614, h_beta= 679.884345186, gamma= 215.74349936
theta= 2518.20655222, alpha= 1153.83162175, l_beta= 488.062256473, h_beta= 211.574478901, gamma= 214.755498934
theta= 25870.0065047, alpha= 3585.91991704, l_beta= 1179.240527, h_beta= 563.177842741, gamma= 172.01595333
theta= 26698.8787823, alpha= 5043.11108779, l_beta= 723.417079095, h_beta= 544.320608376, gamma= 228.952549632
theta= 25720.2349327, alpha= 4566.6100652, l_beta= 1172.01429631, h_beta= 607.457727334, gamma= 165.514740426
theta= 32581.8210377, alpha= 6108.51702924, l_beta= 1718.55278614, h_beta= 679.884345186, gamma= 215.74349936
theta= 2518.20655222, alpha= 1153.83162175, l_beta= 488.062256473, h_beta= 211.574478901, gamma= 214.755498934
theta= 25870.0065047, alpha= 3585.91991704, l_beta= 1179.240527, h_beta= 563.177842741, gamma= 172.01595333
theta= 26698.8787823, alpha= 5043.11108779, l_beta= 723.417079095, h_beta= 544.320608376, gamma= 228.952549632
theta= 25720.2349327, alpha= 4566.6100652, l_beta= 1172.01429631, h_beta= 607.457727334, gamma= 165.514740426
theta= 32581.8210377, alpha= 6108.51702924, l_beta= 1718.55278614, h_beta= 679.884345186, gamma= 215.74349936
theta= 2518.20655222, alpha= 1153.83162175, l_beta= 488.062256473, h_beta= 211.574478901, gamma= 214.755498934
theta= 25870.0065047, alpha= 3585.91991704, l_beta= 1179.240527, h_beta= 563.177842741, gamma= 172.01595333
theta= 26698.8787823, alpha= 5043.11108779, l_beta= 723.417079095, h_beta= 544.320608376, gamma= 228.952549632
